iter	Passed	Remaining
650	5597	1281
651	5607	1272
652	5616	1264
653	5626	1256
654	5635	1247
655	5644	1239
656	5654	1230
657	5682	1226
658	5713	1222
659	5730	1215
660	5739	1206
661	5750	1198
662	5760	1190
663	5772	1182
664	5790	1175
665	5800	1167
666	5813	1159
667	5824	1150
668	5833	1142
669	5844	1134
670	5854	1125
671	5864	1117
672	5874	1108
673	5885	1100
674	5895	1091
675	5905	1083
676	5915	1074
677	5926	1066
678	5938	1058
679	5948	1049
680	5963	1042
681	5973	1033
682	5983	1024
683	5995	1016
684	6006	1008
685	6018	1000
686	6031	992
687	6044	984
688	6057	975
689	6069	967
690	6083	959
691	6096	951
692	6108	943
693	6118	934
694	6136	927
695	6148	918
696	6158	910
697	6170	901
698	6177	892
699	6185	883
700	6195	874
701	6203	866
702	6211	857
703	6219	848
704	6227	839
705	6236	830
706	6244	821
707	6252	812
708	6261	803
709	6269	794
710	6277	785
711	6286	777
712	6294	768
713	6307	759
714	6316	750
715	6326	742
716	6336	733
717	6346	724
718	6355	716
719	6366	707
720	6375	698
721	6388	690
722	6397	681
723	6408	672
724	6417	663
725	6426	655
726	6434	646
727	6442	637
728	6450	628
729	6458	619
730	6467	610
731	6475	601
732	6484	592
733	6492	583
734	6500	574
735	6508	565
736	6516	557
737	6525	548
738	6534	539
739	6542	530
740	6550	521
741	6560	512
742	6569	503
743	6578	495
744	6586	486
745	6596	477
746	6604	468
747	6613	459
748	6622	450
749	6631	442
750	6640	433
751	6667	425
752	6678	416
753	6687	407
754	6696	399
755	6704	390
756	6713	381
757	6721	372
758	6729	363
759	6737	354
760	6745	345
761	6753	336
762	6761	327
763	6772	319
764	6783	310
765	6792	301
766	6800	292
767	6808	283
768	6817	274
769	6837	266
770	6847	257
771	6857	248
772	6867	239
773	6876	230
774	6884	222
775	6894	213
776	6903	204
777	6912	195
778	6921	186
779	6930	177
780	6939	168
781	6949	159
782	6957	151
783	6966	142
784	6974	133
785	6983	124
786	6991	115
787	6999	106
788	7006	97
789	7014	88
790	7023	79
791	7032	71
792	7040	62
793	7048	53
794	7056	44
795	7064	35
796	7072	26
797	7080	17
798	7092	8
799	7100	0
