iter	RMSE
156	1.665326745
157	1.658890279
158	1.649462105
159	1.636455617
160	1.629347224
161	1.619522376
162	1.611145964
163	1.604434856
164	1.594289616
165	1.58861004
166	1.576450102
167	1.570965739
168	1.566077247
169	1.560594146
170	1.550495946
171	1.544888342
172	1.537147388
173	1.532507017
174	1.527910849
175	1.51997684
176	1.51462316
177	1.509981965
178	1.506524675
179	1.501722361
180	1.498453323
181	1.493996412
182	1.490715126
183	1.486580892
184	1.482594649
185	1.477649088
186	1.473731757
187	1.469989246
188	1.465999333
189	1.462028918
190	1.457311657
191	1.454514428
192	1.450519818
193	1.448063204
194	1.444545778
195	1.441246235
196	1.437475502
197	1.43168908
198	1.428836913
199	1.422396877
200	1.419332497
201	1.411589968
202	1.404478177
203	1.401119282
204	1.39473533
205	1.391621481
206	1.388637931
207	1.385492825
208	1.382665592
209	1.377591892
210	1.37545788
211	1.373105471
212	1.371057223
213	1.366658978
214	1.364745286
215	1.362321354
216	1.359596856
217	1.357139232
218	1.354613813
219	1.34797355
220	1.346862112
221	1.340782441
222	1.339259443
223	1.337117353
224	1.334465755
225	1.331782984
226	1.328806962
227	1.326752463
228	1.324570162
229	1.319316395
230	1.317158849
231	1.315634633
232	1.313692357
233	1.311591839
234	1.309806975
235	1.307211893
236	1.302315063
237	1.296947383
238	1.291276279
239	1.289255317
240	1.287869803
241	1.283563387
242	1.281173906
243	1.277852491
244	1.275954177
245	1.274603454
246	1.269947745
247	1.265232321
248	1.260819629
249	1.257243925
250	1.254177789
251	1.25243246
252	1.251010485
253	1.248989677
254	1.247270439
255	1.245810253
256	1.24398997
257	1.241744489
258	1.240214837
259	1.238476077
260	1.234189074
261	1.229129711
262	1.225891623
263	1.221510927
264	1.219785831
265	1.217388162
266	1.21531067
267	1.213936049
268	1.212514196
269	1.210552546
270	1.209825301
271	1.208149584
272	1.206631809
273	1.204150249
274	1.201870379
275	1.200562952
276	1.198806723
277	1.197222791
278	1.195951203
279	1.194330073
280	1.191111293
281	1.189733512
282	1.188686406
283	1.186575997
284	1.183502649
285	1.182224602
286	1.18085063
287	1.178737855
288	1.177261437
289	1.17365101
290	1.172494477
291	1.170841593
292	1.169910179
293	1.166528628
294	1.165328954
295	1.161330477
296	1.15770229
297	1.155924935
298	1.154449254
299	1.151180116
300	1.148885855
301	1.145961842
302	1.144589875
303	1.143244913
304	1.14158495
305	1.140039667
306	1.138628243
307	1.13593307
308	1.134657042
309	1.133514148
310	1.132183991
311	1.129509557
312	1.127555575
313	1.125054445
314	1.123708666
315	1.121391045
316	1.119195383
317	1.118199016
318	1.116168699
319	1.11476296
320	1.112349561
321	1.110467279
322	1.108213986
323	1.105866815
324	1.104050192
325	1.101601823
326	1.099931146
327	1.097650561
328	1.09501363
329	1.09342536
330	1.09185379
331	1.090819774
332	1.08851414
333	1.087299754
334	1.085955987
335	1.083671548
336	1.082560695
337	1.080060169
338	1.078141053
339	1.076737224
340	1.075726378
341	1.073949028
342	1.072569259
343	1.071180895
344	1.069432787
345	1.067926657
346	1.065471816
347	1.06431658
348	1.062625039
349	1.061462229
350	1.059724518
351	1.058096884
352	1.05602065
353	1.054655436
354	1.052709572
355	1.051628953
356	1.049318665
357	1.047730079
358	1.04702142
359	1.045471115
360	1.043121609
361	1.041980309
362	1.040309038
363	1.038426777
364	1.037079498
365	1.035043795
366	1.03399158
367	1.032876886
368	1.031620701
369	1.030275496
370	1.02833951
371	1.027085001
372	1.025598368
373	1.023684123
374	1.022496753
375	1.021418095
376	1.019875523
377	1.018408891
378	1.017072426
379	1.015137317
380	1.013271324
381	1.011954279
382	1.010361858
383	1.009548123
384	1.008794489
385	1.00713928
386	1.00593788
387	1.003770937
388	1.002523762
389	1.001608437
390	1.000331219
391	0.9991633261
392	0.9969156503
393	0.9959981553
394	0.9950474326
395	0.9940716299
396	0.9927218579
397	0.9915789615
398	0.9907593181
399	0.9900747361
400	0.9886628052
401	0.9873911008
402	0.9867990952
403	0.9860255205
404	0.9839225002
405	0.982974976
406	0.981464685
407	0.9800002664
408	0.9788732111
409	0.9781176786
410	0.9771974373
411	0.9760925963
412	0.9749946189
413	0.9739425626
414	0.9730251959
415	0.9719136834
416	0.9708612558
417	0.9696620335
418	0.9684730111
419	0.9666420844
420	0.9660615074
421	0.9641329718
422	0.9626277374
423	0.9616471245
424	0.9604468262
425	0.958826961
426	0.9581671235
427	0.9573130396
428	0.9566961151
429	0.9558028352
430	0.9541367793
431	0.9532690459
432	0.9524332678
433	0.951238954
434	0.9504706037
435	0.9497833268
436	0.9482722864
437	0.9477045869
438	0.9471042966
439	0.9461342526
440	0.9450724567
441	0.9440874903
442	0.942905534
443	0.9416667138
444	0.9407609923
445	0.9397222174
446	0.9388096909
447	0.9380774284
448	0.9369994179
449	0.9359012455
450	0.9352444462
451	0.9341624415
452	0.9330100249
453	0.9320443613
454	0.9306646779
455	0.9295125252
456	0.9279977259
457	0.9271776598
458	0.9263318908
459	0.9253369128
460	0.9239801996
461	0.9225181941
462	0.9211671455
463	0.9204737122
464	0.9197179439
465	0.9186600533
466	0.917503485
467	0.9168472286
468	0.9161490171
469	0.9152038569
470	0.9145411663
471	0.9131836238
472	0.9117436183
473	0.910792294
474	0.9100953061
475	0.908319709
476	0.9069269564
477	0.9061486339
478	0.9051463013
479	0.9040111591
480	0.9030065238
481	0.9016422332
482	0.9001692851
483	0.8985546472
484	0.8972707811
485	0.8965973946
486	0.895948579
487	0.8950529051
488	0.8944445995
489	0.8936215956
490	0.8929022189
491	0.8920928732
492	0.8907642996
493	0.8902344444
494	0.8892578641
495	0.8883606867
496	0.8876410491
497	0.8868516688
498	0.8859800872
499	0.8846131256
500	0.8837079555
501	0.882990213
502	0.8820892625
503	0.8810460473
504	0.8798377716
505	0.8789253965
506	0.8780941691
507	0.8774121458
508	0.8764768887
509	0.8752908209
510	0.87473509
511	0.8738155092
512	0.8731799225
513	0.8721762508
514	0.8714705309
515	0.8706157817
516	0.8697982015
517	0.8687654988
518	0.8681196635
519	0.8674211411
520	0.8662478034
521	0.8652952115
522	0.8646033449
523	0.8637619919
524	0.8629613846
525	0.8623961797
526	0.8615778027
527	0.860469232
528	0.8593095904
529	0.8586329113
530	0.857550014
531	0.8567297071
532	0.8558631542
533	0.8550671911
534	0.8540085624
535	0.8532312006
536	0.8524856287
537	0.8515815268
538	0.8506077421
539	0.8495917558
540	0.8485492954
541	0.8480322234
542	0.8474070261
543	0.8467191038
544	0.846051107
545	0.8453676504
546	0.8445449399
547	0.8439049009
548	0.8430845973
549	0.8420109356
550	0.8409144384
551	0.8402136465
552	0.8395224783
553	0.8387431683
554	0.837856118
555	0.837301165
556	0.8364296718
557	0.8356062985
558	0.8346942361
559	0.8338723427
560	0.8330129963
561	0.8323619896
562	0.8313010234
563	0.8305552567
564	0.8294792035
565	0.8285888513
566	0.82754101
567	0.8271274617
568	0.8265861362
569	0.8254756728
570	0.8247370008
571	0.8242422201
572	0.8235823767
573	0.8228728335
574	0.8219771472
575	0.8212946057
576	0.8205776387
577	0.8197903287
578	0.8190976142
579	0.8184263415
580	0.8174614
581	0.8167555487
582	0.8159943285
583	0.8153320907
584	0.8147050082
585	0.8137167608
586	0.8129096575
587	0.8124796682
588	0.8118789311
589	0.8113240969
590	0.8106525752
591	0.8100483175
592	0.8093056879
593	0.8086602839
594	0.8081202968
595	0.807451315
596	0.8070919586
597	0.8065651097
598	0.8059142068
599	0.8055012973
600	0.8045732548
601	0.8039370826
602	0.803348308
603	0.8026260192
604	0.8018673718
605	0.8008822564
606	0.800417439
607	0.7999252759
608	0.7993993699
609	0.7988795864
610	0.7982925909
611	0.7972783455
612	0.7966784227
613	0.7960216209
614	0.795582069
615	0.7945858093
616	0.7939105368
617	0.7932464466
618	0.7923352058
619	0.7914879873
620	0.7907107287
621	0.7900078937
622	0.7889164697
623	0.7882913424
624	0.7875858832
625	0.7867294714
626	0.7858819564
627	0.7854202271
628	0.7849194388
629	0.7843418983
630	0.7837124013
631	0.7826214556
632	0.7818212427
633	0.7808823573
634	0.7800653504
635	0.7794807024
636	0.7788508452
637	0.7784967873
638	0.7781141001
639	0.7771934353
640	0.7762160726
641	0.7754950357
642	0.774648641
643	0.7741839253
644	0.773893949
645	0.7735377884
646	0.7726559515
647	0.772004517
648	0.7715064731
649	0.7705809309
650	0.7701872921
651	0.7697289672
652	0.7695056071
653	0.7689968214
654	0.7685434233
655	0.7679880633
656	0.7675940144
657	0.7668073319
658	0.7659424182
659	0.7652205375
660	0.7643778203
661	0.7638540335
662	0.7633007303
663	0.7622383503
664	0.7617797878
665	0.7608026111
666	0.7600124058
667	0.7595921469
668	0.7592504563
669	0.7589567736
670	0.758333272
671	0.7574105748
672	0.7568776477
673	0.7559034853
674	0.755220081
675	0.7542848495
676	0.7536386424
677	0.7528727631
678	0.7524341459
679	0.752163671
680	0.7517009813
681	0.7513778036
682	0.751043481
683	0.75038241
684	0.7498637742
685	0.7491368979
686	0.7486472324
687	0.7478578321
688	0.7473040971
689	0.7465588005
690	0.7457938561
691	0.7454211103
692	0.7449776971
693	0.7444174313
694	0.7437760719
695	0.7435382743
696	0.7426731052
697	0.7416576802
698	0.7411576405
699	0.7404120172
700	0.7396712813
701	0.7393318243
702	0.7389249145
703	0.7385332876
704	0.7381032765
705	0.737509969
706	0.7369912016
707	0.7365315657
708	0.7361590783
709	0.7357844097
710	0.735333377
711	0.7350598
712	0.7347285969
713	0.7341001871
714	0.7332616385
715	0.7328950582
716	0.7327538067
717	0.7323070214
718	0.7320108154
719	0.7313824684
720	0.7311092959
721	0.7307195131
722	0.7301302575
723	0.7295303725
724	0.7289324317
725	0.7283820046
726	0.7278471001
727	0.7271494843
728	0.7267264745
729	0.7261158728
730	0.7250835433
731	0.7246771513
732	0.7241357573
733	0.7234186987
734	0.7228619029
735	0.7225895646
736	0.7219620281
737	0.7212806689
738	0.7207063153
739	0.7200815003
740	0.7195594331
741	0.7192126805
742	0.7185498191
743	0.7182671274
744	0.7178084652
745	0.7172138739
746	0.71659516
747	0.7161044831
748	0.7151969601
749	0.7146449876
750	0.7139613551
751	0.7134933214
752	0.7128784611
753	0.7124322561
754	0.7121723749
755	0.7116426802
756	0.7114507874
757	0.7108527971
758	0.7102788788
759	0.7097732475
760	0.7089505044
761	0.7085395556
762	0.7078996175
763	0.7074095434
764	0.7067639537
765	0.7062317889
766	0.7060103442
767	0.7054028421
768	0.7049918896
769	0.7045786393
770	0.7040358316
771	0.7033273739
772	0.703022048
773	0.7023140455
774	0.7018888182
775	0.7009391697
776	0.7006037532
777	0.6999393955
778	0.6995103568
779	0.6988974632
780	0.6982021922
781	0.6973638524
782	0.6969657844
783	0.6962282041
784	0.6958540968
785	0.6952490667
786	0.6948408132
787	0.6942200098
788	0.6934785286
789	0.6929049089
790	0.6922976784
791	0.6915694407
792	0.6908133392
793	0.6903269794
794	0.6898455868
795	0.6891276149
796	0.6887403626
797	0.6882978995
798	0.6879010357
799	0.6876284308
